driverStandingsId,raceId,driverId,points,position,positionText,wins
65958,899,20,397,1,1,13
65957,899,4,242,2,2,2
65961,899,17,199,3,3,0
65960,899,1,189,4,4,1
65956,899,8,183,5,5,1
65975,899,3,171,6,6,2
65965,899,154,132,7,7,0
65959,899,13,112,8,8,0
65964,899,18,73,9,9,0
65977,899,807,51,10,10,0
